course,hw_id,text_clean
FX.101,FX.101-2022F-ps1-p1,synthetic homework 1.1 on T01
FX.101,FX.101-2022F-ps1-p2,synthetic homework 1.2 on T02
FX.101,FX.101-2022F-ps2-p1,synthetic homework 2.1 on T02
FX.101,FX.101-2022F-ps2-p2,synthetic homework 2.2 on T03
FX.101,FX.101-2022F-ps3-p1,synthetic homework 3.1 on T03
FX.101,FX.101-2022F-ps3-p2,synthetic homework 3.2 on T04
FX.101,FX.101-2022F-ps4-p1,synthetic homework 4.1 on T04
FX.101,FX.101-2022F-ps4-p2,synthetic homework 4.2 on T05
FX.101,FX.101-2022F-ps5-p1,synthetic homework 5.1 on T06
FX.101,FX.101-2022F-ps5-p2,synthetic homework 5.2 on T06
FX.101,FX.101-2022F-ps6-p1,synthetic homework 6.1 on T07
FX.101,FX.101-2022F-ps6-p2,synthetic homework 6.2 on T08
