course,term,term_seq,session,date,lecture_n,title,topic_id
FX.101,2022F,20223,1,,1,Lecture 1,T01
FX.101,2022F,20223,2,,2,Lecture 2,T01
FX.101,2022F,20223,3,,3,Lecture 3,T02
FX.101,2022F,20223,4,,4,Lecture 4,T02
FX.101,2022F,20223,5,,5,Lecture 5,T02
FX.101,2022F,20223,6,,6,Lecture 6,T03
FX.101,2022F,20223,7,,7,Lecture 7,T03
FX.101,2022F,20223,9,,8,Lecture 8,
FX.101,2022F,20223,10,,9,Lecture 9,T04
FX.101,2022F,20223,11,,10,Lecture 10,T04
FX.101,2022F,20223,12,,11,Lecture 11,T05
FX.101,2022F,20223,13,,12,Lecture 12,T05
FX.101,2022F,20223,14,,13,Lecture 13,T06
FX.101,2022F,20223,15,,14,Lecture 14,T06
FX.101,2022F,20223,16,,15,Lecture 15,T06
FX.101,2022F,20223,17,,16,Lecture 16,T07
FX.101,2022F,20223,18,,17,Lecture 17,T07
FX.101,2022F,20223,19,,18,Lecture 18,T08
