course,exam_id,exam_type,original_name,term,term_seq,session,session_source,date,total_points,coverage_from_session,coverage_to_session,cumulative,cumulative_basis,sealed,problems_url,solutions_url,url_verified,role
18.06,18.06-quiz1-2010S,quiz1,Exam 1 (paper header: 18.06 Quiz 1),2010S,20101,12,calendar,2010-03-01,,1,9,false,not applicable: first exam of the term; coverage window stated (guideline 18.06-G01 'Chapters 1 to 3.4' = SES 1-9),false,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/e9bbec7a9a25a87715e8edd75e21d7b9_MIT18_06S10_exam1_s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/b7efef974f7a2c8b5c925f5ea8fc9152_MIT18_06S10_exam1_s10_sol.pdf,true,target_full
18.06,18.06-quiz2-2010S,quiz2,Exam 2 (paper header: 18.06 Quiz 2),2010S,20101,25,calendar,2010-04-07,,1,22,true,"stated: calendar SES 25 'Chapters 1-5, 6.1-6.2, 8.2' starts at Chapter 1 (includes Exam 1 material)",false,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/892238e7e16a658abd5813bea8399170_MIT18_06S10_exam2_s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/d669bf89c103559d51427d0916c5db61_MIT18_06S10_exam2_s10_soln.pdf,true,target_full
18.06,18.06-quiz3-2010S,quiz3,Exam 3 (paper header: 18.06 Quiz 3),2010S,20101,37,calendar,2010-05-08,,1,34,true,"stated: calendar SES 37 'Chapters 1-8 (8.1, 2, 3, 5)' starts at Chapter 1",false,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/c72789c2ac2ccaf5568a024c662882d2_MIT18_06S10_exam3_s10.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/edf08929f3b2b435c7d8ca85e8d5118d_MIT18_06S10_exam3_s10_soln.pdf,true,target_full
18.06,18.06-final-2010S,final,Final exam (paper header: 18.06 Final Exam),2010S,20101,40,calendar,2010-05-18,,,,true,assumed: no coverage statement exists (calendar SES 40 reads only 'Final exam'),false,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/b799045edd80df18879088bcf872b214_MIT18_06S10_Final_Exam.pdf,https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/45790724487e46dcc02f55d0fc092ab7_MIT18_06S10_Final_Answers.pdf,true,target_full
18.06,18.06-quiz1-2009F,quiz1,Exam 1 (paper header: Quiz 1),2009F,20093,1000,synthetic,2009-10-05,,,,,n/a: first in-term exam,false,https://web.mit.edu/18.06/www/Fall09/exam1.pdf,https://web.mit.edu/18.06/www/Fall09/exam1soln.pdf,true,x1_input
18.06,18.06-quiz2-2009F,quiz2,Exam 2 (paper header: Quiz 2; archive href exam2.pdf.pdf is broken),2009F,20093,2000,synthetic,2009-10-26,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall09/exam2.pdf,https://web.mit.edu/18.06/www/Fall09/exam2soln.pdf,true,x1_input
18.06,18.06-quiz3-2009F,quiz3,Exam 3 (paper header: Quiz 3),2009F,20093,3000,synthetic,2009-11-23,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall09/exam3.pdf,https://web.mit.edu/18.06/www/Fall09/exam3soln.pdf,true,x1_input
18.06,18.06-quiz1-2009S,quiz1,Exam 1 (paper header: Quiz 1),2009S,20091,1000,synthetic,2009-03-02,,,,,n/a: first in-term exam,false,https://web.mit.edu/18.06/www/Spring09/quiz1-s09.pdf,https://web.mit.edu/18.06/www/Spring09/quiz1-s09-soln.pdf,true,x1_input
18.06,18.06-quiz2-2009S,quiz2,Exam 2 (paper header: Quiz 2),2009S,20091,2000,synthetic,2009-04-01,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Spring09/quiz2-s09.pdf,https://web.mit.edu/18.06/www/Spring09/quiz2-s09-soln.pdf,true,x1_input
18.06,18.06-quiz3-2009S,quiz3,Exam 3 (paper header: Quiz 3),2009S,20091,3000,synthetic,2009-05-01,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Spring09/quiz3-s09.pdf,https://web.mit.edu/18.06/www/Spring09/quiz3-s09-soln.pdf,true,x1_input
