course,term,term_seq,set,issued_session,due_session,is_practice,problems_url,solutions_url,url_verified
6.003,2011F,20113,1,,2,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/f42f53c38bbf253faa68aea9c5ef0289_MIT6_003F11_hw01.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/5ac70c138e66d61a4b3747e58ad16112_MIT6_003F11_sol01.pdf,true
6.003,2011F,20113,2,,4,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/f92581c696820c740cea5fbbdbe783d8_MIT6_003F11_hw02.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/7333517e0986ba7c87ca09fa1ceeaaff_MIT6_003F11_sol02.pdf,true
6.003,2011F,20113,3,,6,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/6b10f97f90329f99831806ddc4b9dc9f_MIT6_003F11_hw03.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/1a4befbe23d4bac95a72abf391d5b30f_MIT6_003F11_sol03.pdf,true
6.003,2011F,20113,4,,8,true,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/a55cb14b8ba4385d71205532609ec974_MIT6_003F11_hw04.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/5b588ef1ebdda0741f23c79f39da6d1f_MIT6_003F11_sol04.pdf,true
6.003,2011F,20113,5,,9,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/d8643589e135c5852360a69a3c0932df_MIT6_003F11_hw05.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/7a9202a622ab3e7228a86d351bf3ab63_MIT6_003F11_sol05.pdf,true
6.003,2011F,20113,6,,11,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/ea30de43a7507acd66471e20128c81ac_MIT6_003F11_hw06.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/5271fc8ca12981d543e48a085fcf8e7b_MIT6_003F11_sol06.pdf,true
6.003,2011F,20113,7,,13,true,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/6e7513a8364fb67413115b25b5bbc210_MIT6_003F11_hw07.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/77289da7fc0a145397fa2bf6bffe5223_MIT6_003F11_sol07.pdf,true
6.003,2011F,20113,8,,15,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/4fe70f61fc123bfc2c136910653cc1f6_MIT6_003F11_hw08.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/1cf2dc10118f377f5a1891316cf3bf70_MIT6_003F11_sol08.pdf,true
6.003,2011F,20113,9,,17,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/8a51cead84275521d5dbfd4045aa2250_MIT6_003F11_hw09.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/4f611fd81a6462284323410e91c7c1e8_MIT6_003F11_sol09.pdf,true
6.003,2011F,20113,10,,19,true,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/1399c2ad00325ba0998a05d0cb66e004_MIT6_003F11_hw10.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/d02717e8c8022c72f14657fc47acd2e5_MIT6_003F11_sol10.pdf,true
6.003,2011F,20113,11,,21,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/31b0eb22ce8a9c315e04df5ef60824ee_MIT6_003F11_hw11.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/e564b9aaf03bc4fcea7a0273b8028966_MIT6_003F11_sol11.pdf,true
6.003,2011F,20113,12,,22,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/a903ebefd16459b50d903da55352d5fb_MIT6_003F11_hw12.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/9551c088baa669946cf9213f033ee954_MIT6_003F11_sol12.pdf,true
6.003,2011F,20113,13,,24,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/4ced8e0b19884b99fb5191adc2fe2143_MIT6_003F11_hw13.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/978f21ea70380903019cfa97875c20b7_MIT6_003F11_sol13.pdf,true
6.003,2011F,20113,14,,25,true,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/be37e6dd3b609fd75bcb3ee22502ef3f_MIT6_003F11_hw14.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/3cc304b779ed9de799d7fbac39bbed4e_MIT6_003F11_sol14.pdf,true
