sha256,doc_id,doctype,is_solution,exam_id,exam_type,term,n,date,date_source,title,page_url,pdf_url,bytes,text_chars,ocr
83940c6fb04e38bcea85311cdee0f28e1d0f03e5c426d5e5e667f18708fc9615,2.71-2014S-lec10,lecture,False,,,2014S,10,2014-03-05,assumed,"Eikonal Equations, Gradient Index Lenses, Hamiltonian Optics (PDF)",https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec10_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/13134562742a242caad5fd92fcb27dfa_MIT2_71S14_lec10_notes.pdf,794227,3834,False
468de26e88d66b5e8edace27243efb795dda874b59bdae83a543a4f060fbd86b,2.71-2014S-lec11,lecture,False,,,2014S,11,2014-03-10,assumed,"Superposition of Waves, Interference, Optical Interferometry (PDF - 1.2MB)",https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec11_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/9f1cabaaa8aca1b730d3c329ad63658d_MIT2_71S14_lec11_notes.pdf,1298162,7853,False
1a1b5fff28e390af4d71bcfd7bda7792925cbae1107c560d87a1578d1a116d83,2.71-2014S-lec13,lecture,False,,,2014S,13,2014-03-17,assumed,Math Tutorial on Spatial Fourier Transforms (PDF - 1.4MB),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec13_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/ec1f3a7e694918d36cd70082cf9dcc6c_MIT2_71S14_lec13_notes.pdf,1438235,1898,False
d9ad6f35329e65cb2e11e983b631bef06e22bbe1986fa95c17c0ca5159ed09ed,2.71-2014S-lec14,lecture,False,,,2014S,14,2014-03-19,assumed,Fraunhofer Diffraction (PDF - 1.1MB),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec14_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/da64653098bef719b4537bb2d149c95d_MIT2_71S14_lec14_notes.pdf,1105100,5219,False
2e9e375ef95b1e17bd40f6248a5d047eef1db4e52ac4a2443e2461e011a88345,2.71-2014S-lec16,lecture,False,,,2014S,16,2014-03-26,assumed,Fresnel Diffraction and Examples (PDF - 1.3MB),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec16_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/4b53a5747f9b58b9b73b2bbcc39945f0_MIT2_71S14_lec16_notes.pdf,1313364,9940,False
a664524f924a1c089464c6eb1ee6d6012ab25f175b3b30cb1e429da30b2dfe9c,2.71-2014S-lec2,lecture,False,,,2014S,2,2014-02-05,assumed,Geometrical Optics (PDF),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec2_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/d558a4fabb2cc2eee8f864d3928b31f6_MIT2_71S14_lec2_notes.pdf,468276,11258,False
0effbc5c3532bdd8b9709db4bbe0f55ad1b50e4cb0fece0d9f23e57fca8718ba,2.71-2014S-lec20,lecture,False,,,2014S,20,2014-04-09,assumed,"Fresnel Diffraction, Depth of Field and Depth of Focus, Holography (PDF - 1.1MB)",https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec20_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/e6c5af8e2e9757e569fdc7c76cd623aa_MIT2_71S14_lec20_notes.pdf,1122412,5940,False
5030ea877e377634c43e8094ec85410faaf04709fac39c765c5a03360d752199,2.71-2014S-lec22,lecture,False,,,2014S,22,2014-04-16,assumed,"Vector Properties of Electromagnetic Fields: Polarization, Waveplates; Birefringence (PDF - 1.2MB)",https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec22_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/c683c04243df558f6048cc11924ff44f_MIT2_71S14_lec22_notes.pdf,1206135,5143,False
d22e6506f4363cad7a3fa801fb4e8a127dcf6e2d583e501ad7b8da42d3ddbca2,2.71-2014S-lec25,lecture,False,,,2014S,25,2014-04-28,assumed,"Review of Scalar and Vector Wave Optics, Outlook (PDF - 1.4MB)",https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec25_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/ecd8b4c1c7717a31e961837de299879b_MIT2_71S14_lec25_notes.pdf,1515492,12493,False
e97597ee00412c7a43ca138091f015b17f92a3371020f96a0be3a6d16f01005d,2.71-2014S-lec4,lecture,False,,,2014S,4,2014-02-12,assumed,Matrix Methods in Paraxial Optics (PDF - 1.2MB),https://ocw.mit.edu/courses/2-71-optics-spring-2014/resources/mit2_71s14_lec4_notes/,https://ocw.mit.edu/courses/2-71-optics-spring-2014/04d4bff4ff4a9ae5e2c8ba7500905557_MIT2_71S14_lec4_notes.pdf,1300059,9679,False
